old_value,new_value
綠,綠
來,來
羽,羽
⽻,羽
金,金
⾦,金
柳,柳
利,利
呂,呂
輪,輪
梨,梨
里,里
⾥,里
裡,裡
律,律
離,離
琉,琉
良,良
輻,輻
裂,裂
笠,笠
蘭,蘭
鲃,䰾
刺,刺
葉,葉
螺,螺
册,冊
⿂,魚
⿊,黑
⿈,黃
⼀,一
⼄,乙
⼆,二
⼈,人
⼊,入
⼋,八
⼏,几
⼑,刀
⼒,力
⼔,匕
⼗,十
⼘,卜
⼜,又
⼝,口
⼞,口
⼟,土
⼠,士
⼤,大
⼥,女
⼦,子
⼨,寸
⼩,小
⼫,尸
⼭,山
⼯,工
⼰,己
⼱,巾
⼲,干
⼸,弓
⼼,心
⼽,戈
⼾,戶
⼿,手
⽀,支
⽂,文
⽃,斗
⽄,斤
⽅,方
⽇,日
⽈,曰
⽉,月
⽊,木
⽋,欠
⽌,止
⽍,歹
⽏,母
⽐,比
⽑,毛
⽒,氏
⽔,水
⽕,火
⽖,爪
⽗,父
⽚,片
⽛,牙
⽜,牛
⽝,犬
⽞,玄
⽟,玉
⽠,瓜
⽡,瓦
⽢,甘
⽣,生
⽤,用
⽥,田
⽩,白
⽪,皮
⽫,皿
⽬,目
⽭,矛
⽮,矢
⽯,石
⽰,示
⽲,禾
⽳,穴
⽴,立
⽵,竹
⽶,米
⽷,糸
⽺,羊
⽼,老
⽽,而
⽿,耳
⾀,聿
⾁,肉
⾂,臣
⾃,自
⾄,至
⾅,臼
⾆,舌
⾈,舟
⾉,艮
⾊,色
⾍,虫
⾎,血
⾏,行
⾐,衣
⾒,見
⾓,角
⾔,言
⾕,谷
⾖,豆
⾙,貝
⾚,赤
⾛,走
⾜,足
⾝,身
⾞,車
⾟,辛
⾠,辰
⾢,邑
⾣,酉
⾤,采
⾧,長
⾨,門
⾩,阜
⾬,雨
⾭,青
⾮,非
⾯,面
⾰,革
⾱,韋
⾲,韭
⾳,音
⾴,頁
⾵,風
⾶,飛
⾷,食
⾸,首
⾹,香
⾺,馬
⾻,骨
⾼,高
⿁,鬼
⿃,鳥
⿄,鹵
⿅,鹿
⿆,麥
⿇,麻
⿉,黍
⿌,黽
⿍,鼎
⿎,鼓
⿏,鼠
⿐,鼻
⿑,齊
⿒,齒
⿓,龍
⿔,龜
